,area,perimeter,compactness,kernel_length,kernel_width,asymmetry,groove_length,wheat
49,14.79,14.52,0.88,5.55,3.29,2.70,5.11,1
50,14.86,14.67,0.87,5.68,3.26,2.13,5.35,1
51,14.43,14.40,0.88,5.59,3.27,3.98,5.14,1
52,15.78,14.91,0.89,5.67,3.43,5.59,5.14,1
53,14.49,14.61,0.85,5.72,3.11,4.12,5.40,1
54,14.33,14.28,0.88,5.50,3.20,3.33,5.22,1
55,14.52,14.60,0.86,5.74,3.11,1.48,5.49,1
56,15.03,14.77,0.87,5.70,3.21,1.93,5.44,1
57,14.46,14.35,0.88,5.39,3.38,2.80,5.04,1
58,14.92,14.43,0.90,5.38,3.41,1.14,5.09,1
59,15.38,14.77,0.89,5.66,3.42,2.00,5.22,1
60,12.11,13.47,0.84,5.16,3.03,1.50,4.52,1
61,11.42,12.86,0.87,5.01,2.85,2.70,4.61,1
62,11.23,12.63,0.88,4.90,2.88,2.27,4.70,1
63,12.36,13.19,0.89,5.08,3.04,3.22,4.61,1
64,13.22,13.84,0.87,5.40,3.07,4.16,5.09,1
65,12.78,13.57,0.87,5.26,3.03,1.18,4.78,1
66,12.88,13.50,0.89,5.14,3.12,2.35,4.61,1
67,14.34,14.37,0.87,5.63,3.19,1.31,5.15,1
68,14.01,14.29,0.86,5.61,3.16,2.22,5.13,1
69,14.37,14.39,0.87,5.57,3.15,1.46,5.30,1
70,12.73,13.75,0.85,5.41,2.88,3.53,5.07,1
71,17.63,15.98,0.87,6.19,3.56,4.08,6.06,2
72,16.84,15.67,0.86,6.00,3.48,4.68,5.88,2
73,17.26,15.73,0.88,5.98,3.59,4.54,5.79,2
74,19.11,16.26,0.91,6.15,3.93,2.94,6.08,2
75,16.82,15.51,0.88,6.02,3.49,4.00,5.84,2
76,16.77,15.62,0.86,5.93,3.44,4.92,5.80,2
77,17.32,15.91,0.86,6.06,3.40,3.82,5.92,2
78,20.71,17.23,0.88,6.58,3.81,4.45,6.45,2
79,18.94,16.49,0.88,6.45,3.64,5.06,6.36,2
80,17.12,15.55,0.89,5.85,3.57,2.86,5.75,2
81,16.53,15.34,0.88,5.88,3.47,5.53,5.88,2
82,18.72,16.19,0.90,6.01,3.86,5.32,5.88,2
83,20.20,16.89,0.89,6.29,3.86,5.17,6.19,2
84,19.57,16.74,0.88,6.38,3.77,1.47,6.27,2
85,19.51,16.71,0.88,6.37,3.80,2.96,6.19,2
86,18.27,16.09,0.89,6.17,3.65,2.44,6.20,2
87,18.88,16.26,0.90,6.08,3.76,1.65,6.11,2
88,18.98,16.66,0.86,6.55,3.67,3.69,6.50,2
89,21.18,17.21,0.90,6.57,4.03,5.78,6.23,2
90,20.88,17.05,0.90,6.45,4.03,5.02,6.32,2
91,20.10,16.99,0.87,6.58,3.79,1.96,6.45,2
92,18.76,16.20,0.90,6.17,3.80,3.12,6.05,2
93,18.81,16.29,0.89,6.27,3.69,3.24,6.05,2
94,18.59,16.05,0.91,6.04,3.86,6.00,5.88,2
95,18.36,16.52,0.85,6.67,3.49,4.93,6.45,2
96,16.87,15.65,0.86,6.14,3.46,3.70,5.97,2
97,19.31,16.59,0.88,6.34,3.81,3.48,6.24,2
98,18.98,16.57,0.87,6.45,3.55,2.14,6.45,2
99,18.17,16.26,0.86,6.27,3.51,2.85,6.27,2
100,18.72,16.34,0.88,6.22,3.68,2.19,6.10,2
101,16.41,15.25,0.89,5.72,3.53,4.22,5.62,2
102,17.99,15.86,0.90,5.89,3.69,2.07,5.84,2
103,19.46,16.50,0.90,6.11,3.89,4.31,6.01,2
104,19.18,16.63,0.87,6.37,3.68,3.36,6.23,2
105,18.95,16.42,0.88,6.25,3.76,3.37,6.15,2
106,18.83,16.29,0.89,6.04,3.79,2.55,5.88,2
107,18.85,16.17,0.91,6.15,3.81,2.84,6.20,2
108,17.63,15.86,0.88,6.03,3.57,3.75,5.93,2
109,19.94,16.92,0.88,6.68,3.76,3.25,6.55,2
110,18.55,16.22,0.89,6.15,3.67,1.74,5.89,2
111,18.45,16.12,0.89,6.11,3.77,2.24,5.79,2
112,19.38,16.72,0.87,6.30,3.79,3.68,5.97,2
113,19.13,16.31,0.90,6.18,3.90,2.11,5.92,2
114,19.14,16.61,0.87,6.26,3.74,6.68,6.05,2
115,20.97,17.25,0.89,6.56,3.99,4.68,6.32,2
116,19.06,16.45,0.89,6.42,3.72,2.25,6.16,2
117,18.96,16.20,0.91,6.05,3.90,4.33,5.75,2
118,19.15,16.45,0.89,6.25,3.82,3.08,6.19,2
119,18.89,16.23,0.90,6.23,3.77,3.64,5.97,2
120,20.03,16.90,0.88,6.49,3.86,3.06,6.32,2
121,20.24,16.91,0.89,6.32,3.96,5.90,6.19,2
122,18.14,16.12,0.88,6.06,3.56,3.62,6.01,2
123,16.17,15.38,0.86,5.76,3.39,4.29,5.70,2
124,18.43,15.97,0.91,5.98,3.77,2.98,5.91,2
125,15.99,14.89,0.91,5.36,3.58,3.34,5.14,2
126,18.75,16.18,0.90,6.11,3.87,4.19,5.99,2
127,18.65,16.41,0.87,6.29,3.59,4.39,6.10,2
128,17.98,15.85,0.90,5.98,3.69,2.26,5.92,2
129,20.16,17.03,0.87,6.51,3.77,1.91,6.19,2
130,17.55,15.66,0.90,5.79,3.69,5.37,5.66,2
131,18.30,15.89,0.91,5.98,3.76,2.84,5.96,2
132,18.94,16.32,0.89,6.14,3.83,2.91,5.95,2
133,15.38,14.90,0.87,5.88,3.27,4.46,5.80,2
134,16.16,15.33,0.86,5.85,3.40,4.27,5.80,2
135,15.56,14.89,0.88,5.78,3.41,4.97,5.85,2
136,15.38,14.66,0.90,5.48,3.47,3.60,5.44,2
137,17.36,15.76,0.88,6.15,3.57,3.53,5.97,2
138,15.57,15.15,0.85,5.92,3.23,2.64,5.88,2
139,15.60,15.11,0.86,5.83,3.29,2.73,5.75,2
140,16.23,15.18,0.89,5.87,3.47,3.77,5.92,2
141,13.07,13.92,0.85,5.47,2.99,5.30,5.40,3
142,13.32,13.94,0.86,5.54,3.07,7.04,5.44,3
143,13.34,13.95,0.86,5.39,3.07,6.00,5.31,3
144,12.22,13.32,0.87,5.22,2.97,5.47,5.22,3
145,11.82,13.40,0.83,5.31,2.78,4.47,5.18,3
146,11.21,13.13,0.82,5.28,2.69,6.17,5.28,3
147,11.43,13.13,0.83,5.18,2.72,2.22,5.13,3
148,12.49,13.46,0.87,5.27,2.97,4.42,5.00,3
149,12.70,13.71,0.85,5.39,2.91,3.26,5.32,3
150,10.79,12.93,0.81,5.32,2.65,5.46,5.19,3
151,11.83,13.23,0.85,5.26,2.84,5.20,5.31,3
152,12.01,13.52,0.82,5.41,2.78,6.99,5.27,3
153,12.26,13.60,0.83,5.41,2.83,4.76,5.36,3
154,11.18,13.04,0.83,5.22,2.69,3.33,5.00,3
155,11.36,13.05,0.84,5.18,2.76,4.05,5.26,3
156,11.19,13.05,0.83,5.25,2.68,5.81,5.22,3
157,11.34,12.87,0.86,5.05,2.85,3.35,5.00,3
158,12.13,13.73,0.81,5.39,2.75,4.83,5.22,3
159,11.75,13.52,0.81,5.44,2.68,4.38,5.31,3
160,11.49,13.22,0.83,5.30,2.70,5.39,5.31,3
161,12.54,13.67,0.84,5.45,2.88,3.08,5.49,3
162,12.02,13.33,0.85,5.35,2.81,4.27,5.31,3
163,12.05,13.41,0.84,5.27,2.85,4.99,5.05,3
164,12.55,13.57,0.86,5.33,2.97,4.42,5.18,3
165,11.14,12.79,0.86,5.01,2.79,6.39,5.05,3
166,12.10,13.15,0.88,5.11,2.94,2.20,5.06,3
167,12.44,13.59,0.85,5.32,2.90,4.92,5.27,3
168,12.15,13.45,0.84,5.42,2.84,3.64,5.34,3
169,11.35,13.12,0.83,5.18,2.67,4.34,5.13,3
170,11.24,13.00,0.84,5.09,2.72,3.52,5.09,3
171,11.02,13.00,0.82,5.33,2.70,6.74,5.16,3
172,11.55,13.10,0.85,5.17,2.85,6.72,4.96,3
173,11.27,12.97,0.84,5.09,2.76,4.31,5.00,3
174,11.40,13.08,0.84,5.14,2.76,5.59,5.09,3
175,10.83,12.96,0.81,5.28,2.64,5.18,5.19,3
176,10.80,12.57,0.86,4.98,2.82,4.77,5.06,3
177,11.26,13.01,0.84,5.19,2.71,5.34,5.09,3
178,10.74,12.73,0.83,5.15,2.64,4.70,4.96,3
179,11.48,13.05,0.85,5.18,2.76,5.88,5.00,3
180,12.21,13.47,0.85,5.36,2.89,1.66,5.18,3
181,11.41,12.95,0.86,5.09,2.78,4.96,4.83,3
182,12.46,13.41,0.87,5.24,3.02,4.99,5.15,3
183,12.19,13.36,0.86,5.24,2.91,4.86,5.16,3
184,11.65,13.07,0.86,5.11,2.85,5.21,5.14,3
185,12.89,13.77,0.85,5.50,3.03,6.19,5.32,3
186,11.56,13.31,0.82,5.36,2.68,4.06,5.18,3
187,11.81,13.45,0.82,5.41,2.72,4.90,5.35,3
188,10.91,12.80,0.84,5.09,2.68,4.18,4.96,3
189,11.23,12.82,0.86,5.09,2.82,7.52,4.96,3
190,10.59,12.41,0.86,4.90,2.79,4.98,4.79,3
191,10.93,12.80,0.84,5.05,2.72,5.40,5.05,3
192,11.27,12.86,0.86,5.09,2.80,3.99,5.00,3
193,11.87,13.02,0.88,5.13,2.95,3.60,5.13,3
194,10.82,12.83,0.83,5.18,2.63,4.85,5.09,3
195,12.11,13.27,0.86,5.24,2.98,4.13,5.01,3
196,12.80,13.47,0.89,5.16,3.13,4.87,4.91,3
197,12.79,13.53,0.88,5.22,3.05,5.48,4.96,3
198,13.37,13.78,0.88,5.32,3.13,4.67,5.09,3
199,12.62,13.67,0.85,5.41,2.91,3.31,5.23,3
200,12.76,13.38,0.90,5.07,3.16,2.83,4.83,3
201,12.38,13.44,0.86,5.22,2.99,5.47,5.05,3
202,12.67,13.32,0.90,4.98,3.14,2.30,4.75,3
203,11.18,12.72,0.87,5.01,2.81,4.05,4.83,3
204,12.70,13.41,0.89,5.18,3.09,8.46,5.00,3
205,12.37,13.47,0.86,5.20,2.96,3.92,5.00,3
206,12.19,13.20,0.88,5.14,2.98,3.63,4.87,3
207,11.23,12.88,0.85,5.14,2.80,4.33,5.00,3
208,13.20,13.66,0.89,5.24,3.23,8.32,5.06,3
209,11.84,13.21,0.85,5.18,2.84,3.60,5.04,3
210,12.30,13.34,0.87,5.24,2.97,5.64,5.06,3
